full_name;age;birthday;birthday_GMT;league;season;position;Current_club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;appearances_home;appearances_away;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;penalty_goals;penalty_misses;clean_sheets_overall;clean_sheets_home;clean_sheets_away;conceded_overall;conceded_home;conceded_away;yellow_cards_overall;red_cards_overall;goals_involved_per_90_overall;assists_per_90.00_overall;goals_per_90.00_overall;goals_per_90.00_home;goals_per_90.00_away;min_per_goal_overall;conceded_per_90.00_overall;min_per_conceded_overall;min_per_match;min_per_card_overall;min_per_assist_overall;cards_per_90.00_overall;rank_in_league_top_attackers;rank_in_league_top_midfielders;rank_in_league_top_defenders;rank_in_club_top_scorer;average_rating_overall;assists_per_game_overall;penalties_won_total_overall;shirt_number;annual_salary_gbp;annual_salary_usd
Alberto Espinola Gimenez;32;666000000;8/2/1991;Primera Division;2023;Defender;Colon;270;90;180;Paraguay;3;1;2;1;0;1;0;0;0;0;0;2;1;1;2;0;2;1;0;0.33;0.00;0.33;0.00;0.5;270;0.67;135;90;270;0;0.33;-1;-1;-1;9;7.01;0.00;0;23;0;0
Alejandro osar Donatti;36;530521200;24/10/1986;Primera Division;2023;Defender;Sarmiento;1081;579;502;Argentina;17;8;9;0;0;0;1;1;0;0;0;7;4;3;8;2;6;1;0;0.08;0.08;0.00;0.00;0.00;0;0.67;135;64;1081;1081;0.08;346;181;26;10;6.36;0.06;0;18;0;0
Alejandro Gabriel Medina;36;540288000;14/2/1987;Primera Division;2023;Goalkeeper;Arsenal de Sarandi;2700;1350;1350;Argentina;30;15;15;0;0;0;0;0;0;0;0;5;3;2;36;19;17;4;0;0.00;0.00;0.00;0.00;0.00;0;1.2;75;90;675;0;0.13;458;456;195;12;7.02;0.00;0;23;0;0
Alejandro Martin obrera;30;717836400;30/9/1992;Primera Division;2023;Defender;Banfield;1799;990;809;Argentina;22;12;10;0;0;0;0;0;0;0;0;10;9;1;17;6;11;7;2;0.00;0.00;0.00;0.00;0.00;0;0.85;106;82;257;0;0.35;369;366;71;31;6.87;0.00;0;16;0;0
Alejandro Piedrahita Diaz;21;1031036400;3/9/2002;Primera Division;2023;Midfielder;Banfield;160;79;81;Colombia;5;2;3;0;0;0;0;0;0;0;0;1;1;0;3;2;1;0;0;0.00;0.00;0.00;0.00;0.00;0;1.69;53;32;0;0;0.00;-1;-1;-1;30;6.52;0.00;0;19;0;0
Alejandro Ramon Maoel;26;861692400;22/4/1997;Primera Division;2023;Defender;Banfield;2121;1041;1080;Argentina;25;13;12;0;0;0;0;0;0;0;0;13;10;3;23;5;18;6;0;0.00;0.00;0.00;0.00;0.00;0;0.98;92;85;354;0;0.25;368;365;128;29;6.88;0.00;0;6;0;0
Alejandro Rebola;35;585730800;24/7/1988;Primera Division;2023;Defender;Belgrano;2344;1209;1135;Argentina;27;14;13;0;0;0;0;0;0;0;0;13;7;6;22;8;14;7;3;0.00;0.00;0.00;0.00;0.00;0;0.84;107;87;260;0;0.35;518;515;69;26;6.78;0.00;0;6;0;0
Alejo Pablo Monje;22;997167600;7/8/2001;Primera Division;2023;Midfielder;Platense;6;6;0;Argentina;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;6;0;0;0.00;-1;-1;-1;22;0.00;0.00;0;39;0;0
Alejo Toledo;23;951897600;1/3/2000;Primera Division;2023;Defender;Rosario Central;634;307;327;Argentina;14;6;8;0;0;0;0;0;0;0;0;5;3;2;10;3;7;1;0;0.00;0.00;0.00;0.00;0.00;0;1.42;63;45;634;0;0.14;475;474;226;20;6.16;0.00;0;8;0;0
Alejo Veliz;19;1063954800;19/9/2003;Primera Division;2023;Forward;Rosario Central;1795;953;842;Argentina;23;12;11;11;9;2;0;0;0;1;0;9;5;4;17;8;9;1;0;0.55;0.00;0.55;0.85;0.21;163;0.85;106;78;1795;0;0.05;6;351;-1;1;0.00;0.00;0;9;0;0
Alex Juoez;18;1095404400;17/9/2004;Primera Division;2023;Midfielder;Barracas Central;4;4;0;Argentina;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;4;0;0;0.00;-1;-1;-1;25;0.00;0.00;0;36;0;0
Alexis Amadeo Sabella;22;993020400;20/6/2001;Primera Division;2023;Midfielder;Platense;164;64;100;Argentina;7;1;6;0;0;0;0;0;0;0;0;2;1;1;2;0;2;2;0;0.00;0.00;0.00;0.00;0.00;0;1.1;82;23;82;0;1.1;-1;-1;-1;17;0.00;0.00;0;5;0;0
Alexis ostillo Manyoma;20;1043913600;30/1/2003;Primera Division;2023;Midfielder;Estudiantes;131;69;62;Colombia;2;1;1;1;1;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0.69;0.00;0.69;1.3;0.00;131;3.44;26;66;0;0;0.00;-1;-1;-1;11;6.72;0.00;0;19;0;0
Alexis ostro;28;782463600;18/10/1994;Primera Division;2023;Midfielder;Tigre;1764;742;1022;Argentina;25;11;14;1;1;0;3;2;1;0;0;7;4;3;21;7;14;0;0;0.2;0.15;0.05;0.12;0.00;1764;1.07;84;71;0;588;0.00;268;97;-1;7;7.08;0.12;0;16;0;0
Alexis Dominguez Ansorena;26;846662400;30/10/1996;Primera Division;2023;Forward;Barracas Central;767;591;176;Argentina;19;12;7;1;1;0;0;0;0;0;0;10;7;3;2;1;1;0;0;0.12;0.00;0.12;0.15;0.00;767;0.23;384;40;0;0;0.00;165;537;-1;12;5.83;0.00;0;9;0;0
Alexis Franosi Flores;21;1010736000;11/1/2002;Primera Division;2023;Defender;Atletico Tucuman;360;90;270;Argentina;4;1;3;0;0;0;0;0;0;0;0;3;1;2;2;0;2;1;0;0.00;0.00;0.00;0.00;0.00;0;0.5;180;90;360;0;0.25;486;484;11;19;0.00;0.00;0;6;0;0
Alexis Martin Arias;31;710233200;4/7/1992;Primera Division;2023;Goalkeeper;Argentinos Juniors;1440;720;720;Argentina;16;8;8;0;0;0;0;0;0;0;0;7;3;4;13;7;6;1;0;0.00;0.00;0.00;0.00;0.00;0;0.81;111;90;1440;0;0.06;464;465;59;13;7.09;0.00;0;25;0;0
Alfredo Ramon Amarilla;21;999759600;6/9/2001;Primera Division;2023;Midfielder;Arsenal de Sarandi;52;30;22;Paraguay;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;26;52;0;1.73;-1;-1;-1;28;0.00;0.00;0;36;0;0
Andres Alberto Desabato;33;638784000;30/3/1990;Primera Division;2023;Goalkeeper;Barracas Central;2192;1170;1022;Argentina;25;13;12;0;0;0;0;0;0;0;0;10;6;4;24;11;13;0;0;0.00;0.00;0.00;0.00;0.00;0;0.99;91;88;0;0;0.00;543;542;130;32;7.07;0.00;0;1;0;0
Andres Eliseo oovez;32;669542400;21/3/1991;Primera Division;2023;Forward;Banfield;1005;546;459;Argentina;19;10;9;1;0;1;0;0;0;0;2;8;7;1;11;3;8;3;0;0.09;0.00;0.09;0.00;0.2;1005;0.99;91;53;335;0;0.27;208;301;-1;9;6.41;0.00;0;9;0;0
Andres Felipe Amaya Rivera;22;988095600;24/4/2001;Primera Division;2023;Midfielder;Belgrano;25;25;0;Colombia;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;25;0;0;0.00;-1;-1;-1;20;7.04;0.00;0;17;0;0
angel ordozo Luona;28;782550000;19/10/1994;Primera Division;2023;Midfielder;Colon;77;0;77;Paraguay;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0.00;0.00;0.00;0.00;0.00;0;2.34;39;77;0;0;0.00;-1;-1;-1;16;7.05;0.00;0;15;0;0
angel Guillermo Benitez;29;755337600;8/12/1993;Primera Division;2023;Defender;Huracan;2189;1230;959;Argentina;26;14;12;0;0;0;1;1;0;0;0;8;5;3;23;13;10;6;0;0.04;0.04;0.00;0.00;0.00;0;0.95;95;84;365;2189;0.25;503;279;113;35;6.89;0.04;0;14;0;0
angel Maria Benitez Arguello;27;822729600;27/1/1996;Primera Division;2023;Midfielder;Defensa y Justicia;73;27;46;Paraguay;5;2;3;0;0;0;0;0;0;0;0;4;1;3;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;15;24;0;3.7;-1;-1;-1;23;5.24;0.00;0;16;0;0
angelo Martino;25;897030000;5/6/1998;Primera Division;2023;Midfielder;Newell's Old Boys;1020;346;674;Argentina;16;6;10;0;0;0;1;1;0;0;0;6;4;2;8;1;7;8;2;0.09;0.09;0.00;0.00;0.00;0;0.71;128;64;113;1020;0.79;426;164;-1;19;6.49;0.06;0;21;0;0
Anibal Ismael Moreno;24;926578800;13/5/1999;Primera Division;2023;Midfielder;Racing Club;1401;698;703;Argentina;16;8;8;2;1;1;1;1;0;0;0;5;3;2;13;4;9;4;0;0.19;0.06;0.13;0.13;0.13;701;0.84;108;88;350;1401;0.26;150;222;-1;7;7.05;0.06;0;29;0;0
Anibal Jonathan Gaston Bay;30;728553600;1/2/1993;Primera Division;2023;Defender;Instituto;424;278;146;Argentina;8;4;4;0;0;0;0;0;0;0;0;2;1;1;6;2;4;2;0;0.00;0.00;0.00;0.00;0.00;0;1.27;71;53;212;0;0.42;588;529;210;13;6.55;0.00;0;12;0;0
Antonio Napolitano;24;919152000;16/2/1999;Primera Division;2023;Midfielder;Gimnasia La Plata;687;287;400;Argentina;15;7;8;0;0;0;0;0;0;0;0;6;4;2;12;3;9;1;0;0.00;0.00;0.00;0.00;0.00;0;1.57;57;46;687;0;0.13;313;346;-1;24;0.00;0.00;0;19;0;0
Ariel Agustin Sant'Anna Quintero;25;875343600;27/9/1997;Primera Division;2023;Defender;Defensa y Justicia;1990;964;1026;Uruguay;25;12;13;0;0;0;2;1;1;0;0;14;7;7;15;6;9;7;0;0.09;0.09;0.00;0.00;0.00;0;0.68;133;80;284;995;0.32;497;165;30;36;7.01;0.08;0;32;0;0
Ariel Matias Garoa;31;688114800;22/10/1991;Primera Division;2023;Midfielder;Belgrano;740;344;396;Argentina;10;5;5;1;0;1;0;0;0;0;0;8;4;4;4;1;3;3;0;0.12;0.00;0.12;0.00;0.23;740;0.49;185;74;247;0;0.36;158;511;-1;7;7.09;0.00;0;15;0;0
Ariel Maurioo Rojas;37;506246400;16/1/1986;Primera Division;2023;Midfielder;Belgrano;1055;450;605;Argentina;20;10;10;0;0;0;3;3;0;0;0;10;5;5;12;3;9;3;0;0.26;0.26;0.00;0.00;0.00;0;1.02;88;53;352;352;0.26;514;25;-1;33;6.57;0.15;0;32;0;0
Armando Jesus Mendez Alirta;27;828259200;31/3/1996;Primera Division;2023;Defender;Newell's Old Boys;963;439;524;Uruguay;12;5;7;0;0;0;0;0;0;0;0;7;4;3;5;1;4;1;0;0.00;0.00;0.00;0.00;0.00;0;0.47;193;80;963;0;0.09;565;564;6;30;6.97;0.00;0;14;0;0
Augusto Lotti;27;834390000;10/6/1996;Primera Division;2023;Forward;Lanus;109;74;35;Italy;3;2;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0.83;0.00;0.83;1.22;0.00;109;1.65;55;36;109;0;0.83;-1;-1;-1;10;6.82;0.00;0;21;0;0
Augusto Martin Batalla Barga;27;830847600;30/4/1996;Primera Division;2023;Goalkeeper;San Lorenzo;2250;1170;1080;Argentina;25;13;12;0;0;0;0;0;0;0;0;15;11;4;12;4;8;5;0;0.00;0.00;0.00;0.00;0.00;0;0.48;188;90;450;0;0.2;400;393;8;19;7.08;0.00;0;13;0;0
Augusto Soott;23;948096000;17/1/2000;Primera Division;2023;Defender;Newell's Old Boys;356;120;236;Argentina;10;5;5;0;0;0;0;0;0;0;0;5;3;2;2;1;1;1;0;0.00;0.00;0.00;0.00;0.00;0;0.51;178;36;356;0;0.25;608;600;12;22;6.51;0.00;0;4;0;0
Axel Atum;17;1136188800;2/1/2006;Primera Division;2023;Midfielder;Estudiantes;93;42;51;Argentina;4;2;2;0;0;0;1;1;0;0;0;1;1;0;2;2;0;0;0;0.97;0.97;0.00;0.00;0.00;0;1.94;47;23;0;93;0.00;-1;-1;-1;17;0.00;0.00;0;40;0;0
Axel Rodriguez;26;859276800;25/3/1997;Primera Division;2023;Forward;Instituto;441;238;203;Argentina;17;8;9;1;0;1;0;0;0;0;0;5;3;2;6;2;4;4;0;0.2;0.00;0.2;0.00;0.44;441;1.22;74;26;110;0;0.82;100;332;-1;6;5.83;0.00;0;29;0;0
Ayrton Enrique ista;24;931762800;12/7/1999;Primera Division;2023;Midfielder;Independiente;2430;1260;1170;Argentina;27;14;13;1;0;1;2;0;2;0;0;7;3;4;27;15;12;9;0;0.11;0.07;0.04;0.00;0.08;2430;1;90;90;270;1215;0.33;295;203;-1;6;6.87;0.07;0;79;0;0
Baldomero Perlaza Perlaza;31;707468400;2/6/1992;Primera Division;2023;Midfielder;Colon;1948;968;980;Colombia;24;12;12;1;0;1;3;2;1;0;0;9;5;4;21;12;9;5;0;0.18;0.14;0.05;0.00;0.09;1948;0.97;93;81;390;649;0.23;276;102;-1;12;6.92;0.12;1;14;0;0
Baltasar Gallego Rodriguez;20;1057734000;9/7/2003;Primera Division;2023;Midfielder;Racing Club;712;311;401;Argentina;14;8;6;2;0;2;0;0;0;0;0;2;1;1;8;4;4;3;0;0.25;0.00;0.25;0.00;0.45;356;1.01;89;51;237;0;0.38;67;323;-1;8;0.00;0.00;0;37;0;0
Bautista Barros Soelotto;23;947750400;13/1/2000;Primera Division;2023;Defender;Gimnasia La Plata;1349;811;538;Argentina;17;10;7;1;0;1;1;0;1;0;0;4;2;2;20;7;13;2;0;0.13;0.07;0.07;0.00;0.17;1349;1.33;67;79;675;1349;0.13;237;206;216;5;6.42;0.06;0;28;0;0
Bautista Kooubinski;22;988268400;26/4/2001;Primera Division;2023;Midfielder;Atletico Tucuman;1270;636;634;Argentina;22;11;11;2;1;1;0;0;0;0;0;12;5;7;16;9;7;3;0;0.14;0.00;0.14;0.14;0.14;635;1.13;79;58;423;0;0.21;141;544;-1;4;7.03;0.00;0;16;0;0
Benjamin Rollheiser;23;953884800;24/3/2000;Primera Division;2023;Forward;Estudiantes;2177;1054;1123;Argentina;29;14;15;6;4;2;3;2;1;0;1;11;7;4;23;7;16;2;0;0.37;0.12;0.25;0.34;0.16;363;0.95;95;75;1089;726;0.08;70;124;-1;2;7.09;0.1;0;10;0;0
Blas Esteban Armoa Nuñez;23;949564800;3/2/2000;Primera Division;2023;Forward;Tigre;1565;735;830;Paraguay;28;14;14;3;2;1;0;0;0;0;0;7;4;3;17;8;9;2;0;0.17;0.00;0.17;0.24;0.11;522;0.98;92;56;783;0;0.12;118;443;-1;3;6.67;0.00;0;18;0;0
Brahian oello;25;875602800;30/9/1997;Primera Division;2023;Midfielder;Instituto;1274;585;689;Argentina;27;14;13;0;0;0;1;1;0;0;0;11;6;5;16;4;12;1;0;0.07;0.07;0.00;0.00;0.00;0;1.13;80;47;1274;1274;0.07;591;193;-1;25;6.68;0.04;1;20;0;0
Brahian Milton Aleman Athaydes;33;630403200;23/12/1989;Primera Division;2023;Midfielder;Banfield;2031;1089;942;Uruguay;28;15;13;1;0;1;4;3;1;1;0;14;11;3;24;8;16;9;0;0.22;0.18;0.04;0.00;0.1;2031;1.06;85;73;226;508;0.4;283;61;-1;12;7.19;0.14;0;10;0;0
Braian Alejandro Guille;26;870332400;31/7/1997;Primera Division;2023;Forward;Atletico Tucuman;332;153;179;Argentina;16;7;9;0;0;0;0;0;0;0;0;5;2;3;4;1;3;3;0;0.00;0.00;0.00;0.00;0.00;0;1.08;83;21;111;0;0.81;386;386;-1;14;6.52;0.00;1;17;0;0
Braian Ezequiel Romero;32;676969200;15/6/1991;Primera Division;2023;Forward;Velez Sarsfield;267;177;90;Argentina;3;2;1;0;0;0;0;0;0;0;0;2;2;0;1;0;1;3;0;0.00;0.00;0.00;0.00;0.00;0;0.34;267;89;89;0;1.01;-1;-1;-1;15;6.65;0.00;0;9;0;0
Braian Javier Salvaresoi;24;923986800;13/4/1999;Primera Division;2023;Defender;Godoy Cruz;473;228;245;Argentina;10;6;4;1;0;1;0;0;0;0;0;3;2;1;7;3;4;5;1;0.19;0.00;0.19;0.00;0.37;473;1.33;68;47;79;0;1.14;104;316;215;12;6.07;0.00;0;15;0;0
Braian Nahuel Aguirre;23;964767600;28/7/2000;Primera Division;2023;Defender;Lanus;1371;819;552;Argentina;19;10;9;0;0;0;1;0;1;0;0;5;4;1;16;7;9;4;0;0.07;0.07;0.00;0.00;0.00;0;1.05;86;72;343;1371;0.26;601;204;154;25;6.79;0.05;0;35;0;0
